Kód	Név	Mennyiség	Egységár	Kedvezményes ár
A81684781	Fa képkeret 80*100	100	1200	960
A69501915	Fa képkeret 80*20	245	1200	960
A73361578	Fa képkeret 80*120	190	1200	960
F66512924	Fa képkeret 80*90	188	1200	960
F19089224	Fa képkeret 80*80	66	1200	960
S11933344	Fa képkeret 80*80	120	1200	960
S15888032	Fa képkeret 80*120	120	1200	960
E51369367	Üveg képkeret 80*107	300	2300	1725
F73961279	Üveg képkeret 110*120	77	3500	2625
F16859174	Üveg képkeret 100*80	120	3500	2625
T86061734	Alumínium képkeret 10*20	120	2100	1575
Y69202592	Alumínium képkeret 50*50	66	1500	1200
Y43789230	Alumínium képkeret 40*50	140	1200	960
Y65311606	Alumínium képkeret 100*20	140	1500	1200
U58177901	Alumínium képkeret 150*50	120	1500	1200
I922258914	Alumínium képkeret 140*50	100	1500	1200
O26414612	Alumínium képkeret 210*20	100	3000	2250
P88899552	Alumínium képkeret 250*150	120	3000	2250
P24655859	Ezüst képkeret 100*20	99	6400	4800
U40184236	Ezüst képkeret 100*30	100	6400	4800
A30660960	Ezüst képkeret 100*40	100	6400	4800
A40543785	Ezüst képkeret 100*80	120	7800	5850
A69592688	Ezüst képkeret 110*90	245	7800	5850
F73945254	Ezüst képkeret 120*120	100	7800	5850
F57459846	Ezüst képkeret 140*130	66	7800	5850
S49924044	Ezüst képkeret 140*130	45	6000	4500
S73520422	Ezüst képkeret 140*130	245	6500	4875
E42705276	Parafa képkeret DS	100	2100	1575
F15071236	Parafa képkeret DF	120	2100	1575
F47692834	Parafa képkeret DA	120	2100	1575
T97541804	Parafa képkeret DB	140	1850	1480
Y67043475	Parafa képkeret DXA	120	1850	1480
Y82229748	Gipsz képkeret as23	120	1850	1480
Y50910614	Gipsz képkeret ac24	100	1850	1480
U23037549	Gipsz képkeret ar5	89	4300	3225
I839171040	Gipsz képkeret ai10	120	3400	2550
O91352817	Gipsz képkeret ar100	120	1250	1000
P63960083	Gipsz képkeret at500	100	4500	3375
F83046126	Műanyag képkeret 200*100	100	2400	1800
T50489804	Műanyag képkeret 170*25	120	2400	1800
Y47782021	Műanyag képkeret 140*50	100	2400	1800
Y82551920	Műanyag képkeret 35*45	140	800	640
Y47326857	Műanyag képkeret 20*20	300	400	320
U66866662	Műanyag képkeret 90*120	240	900	720
I285526020	Műanyag képkeret 150*100	100	1100	880
O15453750	Műanyag képkeret 140*100	245	1500	1200
P52807896	Műanyag képkeret 115*90	120	1200	960
P46397243	Műanyag képkeret 20*10	245	300	240
U44072124	Műanyag képkeret 300*40	100	2100	1575
A75434649	Műanyag képkeret 450*120	120	3100	2325
A34510361	Műanyag képkeret 100*100	120	2500	1875
A10472169	Műanyag képkeret AX1	100	4500	3375
F19021046	Műanyag képkeret AX2	120	4500	3375
F35273740	Műanyag képkeret DD4	120	4500	3375
S83485022	Műanyag képkeret DF5	188	4500	3375
S53899550	Műanyag képkeret DF5 TR4	100	4800	3600
E95802155	Műanyag képkeret S3	100	3400	2550
F79817070	Képakasztó 20	100	500	400
F10361981	Képakasztó 30	120	700	560
T25742289	Képakasztó 120	120	1000	800
Y19256482	Képakasztó 80	120	1000	800
Y70752580	Képakasztó 90	120	1200	960
Y81566114	Képakasztó 45	120	800	640
U66603796	Képakasztó 34	120	300	240
I206469840	Képakasztó 500	120	1500	1200
O66453834	Képakasztó 300	120	1300	1040
P32695675	Képakasztó 600	120	1500	1200
P63762860	Képakasztó 1000	120	2000	1500
E12598907	Képakasztó 1010	120	2000	1500
